imdb_id,original_title,cn_titles,release_year,summary,genres,directors,scriptwriters,actors,length,douban_average_score,douban_star_rating,number_of_ratings,link
tt000011,夜班,夜班,2025,"在瑞士一家医院的外科病房工作的Floria（Leonie Benesch饰）是一位充满热情与专业精神的外科护理师。她技术娴熟，即使在压力巨大的情况下也总能耐心倾听每一位病人的需求，在紧急情况下，她总能迅速到场——理想状态下是如此。然而现实情况中这份工作常常难以预料，情况远没有那么理想。
这一天，Floria开始了她的晚班，但在这个床位已满、人手紧缺的病房里一位同事突然因故缺勤。尽管工作繁忙，她仍尽心照顾着一位重病的母亲（Lale Yavas饰）和一位焦急等待诊断的老人（Urs Bihler饰），同样细致周到地应对着那位私人病人（Jürg Plüss饰）的各种额外要求。
然而，一场致命的错误悄然发生，让整个值班陷入混乱。一场与时间赛跑的紧张之旅由此开始。",剧情,剧情,佩特拉·比翁迪娜·沃尔普,佩特拉·比翁迪娜·沃尔普,92分钟,8.3,4.15,12963,https://www.douban.com/doubanapp/dispatch?uri=/movie/36752929
tt000012,F1：狂飙飞车,F1：狂飙飞车,2025,桑尼·海耶斯（布拉德·皮特 饰）曾经是F1赛场上最具潜力的天才新星，但一场意外葬送了他的职业生涯，从此他沦为人们口中最生不逢时的“沧海遗珠”。三十年后的如今，桑尼是一名自由职业的落魄赛车手，他的前队友——如今是濒临破产的F1车队老板鲁本·塞万提斯（哈维尔·巴登 饰）却突然找上门来。鲁本说服桑尼重返F1赛场，这不仅是拯救他车队的最后希望，更是桑尼向世界证明自己仍是顶尖车手的最佳契机。桑尼将与车队的热门新秀乔舒亚·皮尔斯（达姆森·伊德瑞斯 饰）并肩前行，这位年轻的车手也渴望在赛道上书写自己的传奇。然而伴随着引擎开始轰鸣，桑尼过去的创伤也如影随形，他同时意识到在F1的世界里，并肩作战的队友也会是最强劲的对手，而通往自我救赎的道路，绝非孤身一人能够走完。,剧情 / 动作 / 运动,剧情 动作 运动,伊伦·克鲁格 / 约瑟夫·科辛斯基,约瑟夫·科辛斯基,156分钟,8.7,4.35,405384,https://www.douban.com/doubanapp/dispatch?uri=/movie/35689244
tt000013,8号出口,8号出口,2025,本片改编自2023年发行的寻找“异常”的同名游戏，迷路男子（二宫和也 饰）意外被困地下铁神秘地带，无限循环的诡异通道仿佛拥有意志，随时变异。为了找到通向目标的“8号出口”，男子唯一能做的，就是奋力追索周遭细思极恐的异常。在令人迷失的无尽回廊之中，男子能否找到真正的出口，逃出生天？,恐怖 / 冒险,恐怖 冒险,平濑谦太朗 / 川村元气,川村元气,95分钟,6.3,3.15,10172,https://www.douban.com/doubanapp/dispatch?uri=/movie/37178027
tt000014,白头神探：智斗灭世狂人,白头神探：智斗灭世狂人,2025,白头神探的儿子小弗兰克（连姆·尼森 Liam Neeson 饰）即将上演最无厘头的一次“营救”行动。,喜剧 / 动作 / 犯罪,喜剧 动作 犯罪,丹·格雷戈尔 / 道格·曼德 / 阿吉瓦·沙弗尔 / 吉姆·艾布拉姆斯 / 大卫·扎克 /  / 更多...,阿吉瓦·沙弗尔,85分钟,6.0,3.0,3700,https://www.douban.com/doubanapp/dispatch?uri=/movie/25792787
tt000015,死神来了：血脉诅咒,死神来了：血脉诅咒,2025,大学生斯蒂芬妮（凯特琳·桑塔·胡安娜 Kaitlyn Santa Juana 饰）长期被噩梦困扰，她决定返回家乡寻找噩梦起源，却意外发现曾发生在外婆艾莉丝身上的离奇旧事，并牵连出流淌在整个家族血脉中的秘密：死神诅咒。当她试图破解诅咒密码，却发现死神的镰刀早已垂下…… 随着身边亲人一个个离奇惨死，斯蒂芬妮还能带领幸存者逃脱死神的宿命猎杀吗？,惊悚 / 恐怖,惊悚 恐怖,盖伊·比尤西克 / 洛丽·埃文斯·泰勒 / 乔恩·沃茨,亚当·B·斯坦 扎克·利波夫斯基,110分钟,6.9,3.45,122229,https://www.douban.com/doubanapp/dispatch?uri=/movie/30429388
tt000016,看我今天怎么说,看我今天怎么说,2024,在个人和融入之间，如何不被扭曲活出真我？一部关于自我价值和身份认同的作品——聋人不再是作者的设定，而是主人公，我们不只看得见声音还听得到静音。三位赤诚的聋人青年，出身自不同的家庭，因为不同的机遇和身体状况，对聋人身份和处境有着不同看法和态度。一个活得自信，一个努力融入，一个则不敢苛求。手语把三人连上，现实却撞得彼此遍体鳞伤，他们能否走上耳目一新的一章？避过一切猎奇怜悯的眼光，以最严谨真诚的态度取得微妙平衡，舞动的手语带动情感流动，由衷的尊重充满每一个角落。选角用心精准，令每位大小演员都散发出亮眼的光芒，游学修、钟雪莹和吴祉昊细致的演出更是真挚动人。,剧情,剧情,千春 / 何康 / 思言 / 黄修平,黄修平,132分钟,8.3,4.15,5187,https://www.douban.com/doubanapp/dispatch?uri=/movie/36766358
tt000017,脱缰者也,脱缰者也,2025,世纪之交，背井离乡的马飞（郭麒麟 饰）重返天津，在种种不尽如意的遭遇下“拐走”外甥李嘉文（胡朗荃 饰），舅甥就此踏上一段“离经叛道”之旅。事态脱缰失控，抽象不断升级，一切荒唐随之而来……,喜剧 / 犯罪,喜剧 犯罪,方唱 / 王馼,曹保平,122分钟,5.7,2.85,8449,https://www.douban.com/doubanapp/dispatch?uri=/movie/36453173
tt000018,卷卷初恋,卷卷初恋,2025,1998年，19岁的卷发单恋少女朴世莉（申银秀 饰）有了聪明转学生的助攻，下定决心非追到校草不可。,剧情 / 喜剧 / 爱情,剧情 喜剧 爱情,南宫善,南宫善,118分钟,6.9,3.45,2434,https://www.douban.com/doubanapp/dispatch?uri=/movie/36948664
tt000019,奇遇,奇遇,2025,43岁的社畜大叔黄遇奇（贾冰 饰）身体处处亮红灯，是生活中的背景板，职场上的一块砖。被人生困住的他因一场意外与18岁的自己互换灵魂！从此，没有“班味”的中年黄遇奇开启了创飞人生的一系列操作！不做卷王，享受人生就对了！“少年老成”的18岁黄遇奇（王皓 饰）手握未来剧本，开始实行“富二代养成计划”！不再叛逆，弥补遗憾就对了！横冲直撞的他们会如何掌控自己的全新人生？,喜剧,喜剧,马多,马多,129分钟,7.2,3.6,24816,https://www.douban.com/doubanapp/dispatch?uri=/movie/36522427
tt000020,碟中谍8：最终清算,碟中谍8：最终清算,2025,超级人工智能“智体”即将引爆全球核弹危机，把世界推向毁灭边缘。而伊森·亨特（汤姆·克鲁斯 饰）和他的IMF小队在上次行动中遭遇重创，团队濒临分崩离析。虽然伊森已获得关闭“智体”的钥匙，但要彻底消灭“智体”，完成这一拯救全人类的终极任务，仍需要IMF小队齐心协力突破重重困难。他们不仅要面对全知全能又无影无形的“智体”与其手下盖布瑞尔（埃塞·莫拉雷斯 饰）的百般阻拦，还要解决来自过去的种种恩怨。每个抉择都关乎信念与命运，等待伊森和IMF小队的，究竟是怎样的结局？,动作 / 惊悚 / 冒险,动作 惊悚 冒险,克里斯托弗·麦奎里 / 埃里克·延德雷森,克里斯托弗·麦奎里,170分钟,7.7,3.85,225576,https://www.douban.com/doubanapp/dispatch?uri=/movie/30433456
