item_id,original_title,release_year,genres,rating,rating_num,s_hat_5,prior_m,C
tt11851548,Orphan: First Kill,2022,Horror/Thriller,2.7,2111320.0,2.7,3.58,80
tt1187043,3 Idiots,2009,Drama/Comedy,4.1,1557060.0,4.1,3.58,80
tt1187064,Triangle,2009,Horror,3.3,1518530.0,3.3,3.58,80
tt1189073,La piel que habito,2011,Horror/Drama/Mystery/Thriller,3.8,3117540.0,3.8,3.58,80
tt1190080,2012,2009,Adventure/Action/Science Fiction,2.5,3896100.0,2.5,3.58,80
tt11909878,Hocus Pocus 2,2022,Family/Comedy/Fantasy,2.7,1984270.0,2.7,3.58,80
tt1191111,Enter the Void,2009,Drama/Fantasy,3.8,2147450.0,3.8,3.58,80
tt1193138,Up in the Air,2009,Drama/Romance,3.6,1692330.0,3.6,3.58,80
tt1196141,Diary of a Wimpy Kid,2010,Comedy/Family,3.3,3539740.0,3.3,3.58,80
tt12003946,Violent Night,2022,Fantasy/Comedy/Action,3.0,2557300.0,3.0,3.58,80
tt12004038,Watcher,2022,Thriller/Mystery/Horror,3.3,1995150.0,3.3,3.58,80
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,Fantasy/Adventure,4.0,16812910.0,4.0,3.58,80
tt12037194,Furiosa: A Mad Max Saga,2024,Science Fiction/Action/Adventure,3.8,9209380.0,3.8,3.58,80
tt1204342,The Muppets,2011,Family/Comedy,3.6,2661470.0,3.6,3.58,80
tt1205489,Gran Torino,2008,Drama,3.8,4145320.0,3.8,3.58,80
tt1211837,Doctor Strange,2016,Fantasy/Action/Adventure,3.5,16992220.0,3.5,3.58,80
tt1213641,First Man,2018,History/Drama,3.7,2933570.0,3.7,3.58,80
tt1213663,The World’s End,2013,Action/Science Fiction/Comedy,3.6,3859570.0,3.6,3.58,80
tt1216496,마더,2009,Crime/Mystery/Drama,,0.0,3.58,3.58,80
tt1217209,Brave,2012,Comedy/Animation/Family/Fantasy/Adventure/Action,3.4,9962280.0,3.4,3.58,80
tt1219289,Limitless,2011,Thriller/Science Fiction/Mystery,3.3,3699200.0,3.3,3.58,80
tt1219827,Ghost in the Shell,2017,Drama/Action/Science Fiction,2.6,1892100.0,2.6,3.58,80
tt12261776,65,2023,Science Fiction/Action/Adventure,2.1,1878710.0,2.1,3.58,80
tt12263384,Extraction 2,2023,Thriller/Action/Crime,3.2,1896150.0,3.2,3.58,80
tt1226837,Beautiful Boy,2018,Drama,4.0,11897280.0,4.0,3.58,80
tt1228705,Iron Man 2,2010,Adventure/Science Fiction/Action,3.0,13243950.0,3.0,3.58,80
tt1229340,Anchorman 2: The Legend Continues,2013,Comedy,3.0,2094380.0,3.0,3.58,80
tt12299608,Mickey 17,2025,Comedy/Adventure/Science Fiction,3.6,17013230.0,3.6,3.58,80
tt1231580,Alvin and the Chipmunks: The Squeakquel,2009,Family/Animation/Fantasy/Music/Comedy,2.4,2072040.0,2.4,3.58,80
tt1232200,That’s My Boy,2012,Comedy,2.5,1779740.0,2.5,3.58,80
tt1232829,21 Jump Street,2012,Crime/Action/Comedy,3.6,10056480.0,3.6,3.58,80
tt1233227,Saw VI,2009,Thriller/Horror,2.9,2027770.0,2.9,3.58,80
tt12349832,Cuckoo,2024,Horror/Mystery/Thriller,,0.0,3.58,3.58,80
tt12412888,Sonic the Hedgehog 2,2022,Adventure/Family/Comedy/Action,3.1,3710790.0,3.1,3.58,80
tt1241317,Death Note,2017,Crime/Fantasy/Horror,1.5,2095990.0,1.5,3.58,80
tt12584954,Twisters,2024,Thriller/Action,3.3,9123040.0,3.3,3.58,80
tt12593682,Bullet Train,2022,Comedy/Thriller/Action,3.6,17903650.0,3.6,3.58,80
tt1259521,The Cabin in the Woods,2011,Comedy/Horror/Mystery,3.4,7541880.0,3.4,3.58,80
tt1259571,The Twilight Saga: New Moon,2009,Romance/Drama/Adventure/Fantasy,2.7,8067100.0,2.7,3.58,80
tt12618926,Madres paralelas,2021,Drama,3.6,1433250.0,3.6,3.58,80
tt1262426,Wicked,2024,Romance/Drama/Fantasy,3.8,20665580.0,3.8,3.58,80
tt12676326,Malcolm & Marie,2021,Drama/Romance,,0.0,3.58,3.58,80
tt12680684,È stata la mano di Dio,2021,Drama,3.8,1501400.0,3.8,3.58,80
tt1270797,Venom,2018,Science Fiction/Action,2.9,11565090.0,2.9,3.58,80
tt12747748,Leave the World Behind,2023,Drama/Mystery/Thriller,2.8,7331910.0,2.8,3.58,80
tt12749596,Host,2020,Horror,3.2,1851920.0,3.2,3.58,80
tt12758060,Tetris,2023,Thriller/History/Drama,3.5,1761760.0,3.5,3.58,80
tt1276104,Looper,2012,Thriller/Science Fiction/Action,3.6,4242930.0,3.6,3.58,80
tt1277953,Madagascar 3: Europe’s Most Wanted,2012,Comedy/Family/Adventure/Animation,3.1,3370410.0,3.1,3.58,80
tt12789558,Belfast,2021,History/Drama,3.5,2260150.0,3.5,3.58,80
tt12801262,Luca,2021,Fantasy/Comedy/Adventure/Family/Animation,3.7,11713090.0,3.7,3.58,80
tt12810074,Nightbitch,2024,Comedy/Horror,2.8,1224410.0,2.8,3.58,80
tt12818328,Hundreds of Beavers,2022,Adventure/Comedy/Action,4.1,1437250.0,4.1,3.58,80
tt1282140,Easy A,2010,Comedy,3.4,9732890.0,3.4,3.58,80
tt1285016,The Social Network,2010,Drama,3.9,22337190.0,3.9,3.58,80
tt1288558,Evil Dead,2013,Horror,3.4,3617150.0,3.4,3.58,80
tt1289401,Ghostbusters,2016,Fantasy/Action/Comedy,2.3,3069240.0,2.3,3.58,80
